id,venue,strategy,market,yesAsk,noAsk,bidDepth,askDepth,liquidity,profitPerDollar,numOutcomes,sumAsks,pair_id,poly_market_id,kalshi_market_id,timestamp,cost1,cost2,best_cost,best_direction,edge_raw,topBookDepthUsd,depthWithinProfitableBandUsd,edgePersistence,recentSnapshotsJson
miguel-pair-0006,KALSHI,BINARY_BUY_BOTH,will the golden state warriors win the 2026 nba finals,0.01,0.01,547.5591272600001,2490.1052782,1.0,0.98,2,0.02,pair-0006,553867,KXMVESPORTSMULTIGAMEEXTENDED-S2026D7CF31C95CE-71A80CF3D59,2026-02-24T21:58:29.928183Z,0.02,1.001,0.02,POLY_YES_KAL_NO,0.98,3038.66440546,547.5791272600001,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.98}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.98}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.98}]"
miguel-pair-0008,KALSHI,BINARY_BUY_BOTH,will lebron james win the 2028 democratic presidential nomination,0.01,0.01,2307.3874573599996,19373.5068977,1.0,0.98,2,0.02,pair-0008,559681,KXMVESPORTSMULTIGAMEEXTENDED-S2026A48B0CF7A66-BDA3C2530D4,2026-02-24T21:58:29.928183Z,0.02,1.001,0.02,POLY_YES_KAL_NO,0.98,21681.89435506,2307.4074573599996,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.98}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.98}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.98}]"
miguel-pair-0027,KALSHI,BINARY_BUY_BOTH,will the arizona coyotes win the central division,0.0,0.01,1.0,27.129665300000003,1.0,0.98,2,0.02,pair-0027,629061,KXMVESPORTSMULTIGAMEEXTENDED-S20262C383DFD836-DBFB0EDCE0C,2026-02-24T21:58:29.928183Z,0.02,0.999,0.02,POLY_YES_KAL_NO,0.98,29.129665300000003,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.98}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.98}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.98}]"
miguel-pair-0021,KALSHI,BINARY_BUY_BOTH,will juan manuel gal n win the 1st round of the 2026 colombian presidential election,0.0,0.01,1.0,53.425096999999994,1.0,0.974,2,0.026000000000000002,pair-0021,569340,KXMVESPORTSMULTIGAMEEXTENDED-S2026F0FEBF09EAB-F074159F0EC,2026-02-24T21:58:29.928183Z,0.026000000000000002,0.995,0.026000000000000002,POLY_YES_KAL_NO,0.974,55.425096999999994,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.974}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.974}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.974}]"
miguel-pair-0002,KALSHI,BINARY_BUY_BOTH,will the los angeles kings win the 2026 nhl stanley cup,0.01,0.01,106.76743714000003,916.7220284,1.0,0.968,2,0.032,pair-0002,553831,KXMVESPORTSMULTIGAMEEXTENDED-S20266E3B5041D26-529687C9211,2026-02-24T21:58:29.928183Z,0.032,0.991,0.032,POLY_YES_KAL_NO,0.968,1024.48946554,106.78743714000002,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.968}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.968}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.968}]"
miguel-pair-0015,KALSHI,BINARY_BUY_BOTH,will jaylen brown win the 2025 2026 nba mvp,0.01,0.01,332.47029084,536.6125823,1.0,0.968,2,0.032,pair-0015,564175,KXMVESPORTSMULTIGAMEEXTENDED-S2026A729AB2E862-D6D2DE345AC,2026-02-24T21:58:29.928183Z,0.032,0.989,0.032,POLY_YES_KAL_NO,0.968,870.08287314,332.49029084,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.968}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.968}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.968}]"
miguel-pair-0044,KALSHI,BINARY_BUY_BOTH,will michael porter jr win the 2025 2026 nba most improved player,0.0,0.01,1.0,28.0095228,1.0,0.946,2,0.054,pair-0044,643666,KXMVESPORTSMULTIGAMEEXTENDED-S202685ECE000FBA-13CC793CB6E,2026-02-24T21:58:29.928183Z,0.054,0.994,0.054,POLY_YES_KAL_NO,0.946,30.0095228,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.944}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.944}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.946}]"
miguel-pair-0040,KALSHI,BINARY_BUY_BOTH,will payton pritchard win the 2025 2026 nba sixth man of the year,0.0,0.01,1.0,16.9273722,1.0,0.944,2,0.056,pair-0040,643621,KXMVESPORTSMULTIGAMEEXTENDED-S20266333BE1D0A3-F442E6CEEEA,2026-02-24T21:58:29.928183Z,0.056,0.995,0.056,POLY_YES_KAL_NO,0.944,18.9273722,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.944}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.944}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.944}]"
miguel-pair-0036,KALSHI,BINARY_BUY_BOTH,will rudy gobert win the 2025 2026 nba defensive player of the year,0.0,0.01,1.6392,57.881445299999996,1.0,0.9319999999999999,2,0.068,pair-0036,643570,KXMVESPORTSMULTIGAMEEXTENDED-S20265CF3AB033BE-2E57A55E2C5,2026-02-24T21:58:29.928183Z,0.068,0.962,0.068,POLY_YES_KAL_NO,0.9319999999999999,60.5206453,1.6592,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.9319999999999999}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.9319999999999999}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.9319999999999999}]"
miguel-pair-0031,KALSHI,BINARY_BUY_BOTH,will the democrats win the west virginia senate race in 2026,0.01,0.01,1.0,136.068891,1.0,0.93,2,0.06999999999999999,pair-0031,630989,KXMVESPORTSMULTIGAMEEXTENDED-S2026869A5C25B61-CEA1B7DB318,2026-02-24T21:58:29.928183Z,0.06999999999999999,0.96,0.06999999999999999,POLY_YES_KAL_NO,0.93,138.068891,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.93}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.93}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.93}]"
