pair_id,title_clean,category_tag,sport,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc,kalshi_t2_ticker,kalshi_tie_ticker
140,islanders hershey bears,sports_fees_v2,Ice Hockey,1.0,2034197,ahl-her-bri-2026-04-21,https://polymarket.com/event/ahl-her-bri-2026-04-21,KXAHLGAME-26APR211900HERBRI-BRI,https://kalshi.com/markets/KXAHLGAME-26APR211900HERBRI-BRI,https://polymarket.com/event/ahl-her-bri-2026-04-21,"[""Bridgeport Islanders"", ""Hershey Bears""]","[""22444042921220409234672584442575587651068592027199512075840271937548467069426"", ""78977433473697768085034136837909780316954935931020405306039593482691432595883""]",Bridgeport Islanders,2026-04-21,2026-05-05T23:00:00Z,2026-04-21,,
141,hershey bears islanders,sports_fees_v2,Ice Hockey,1.0,2034197,ahl-her-bri-2026-04-21,https://polymarket.com/event/ahl-her-bri-2026-04-21,KXAHLGAME-26APR211900HERBRI-HER,https://kalshi.com/markets/KXAHLGAME-26APR211900HERBRI-HER,https://polymarket.com/event/ahl-her-bri-2026-04-21,"[""Hershey Bears"", ""Bridgeport Islanders""]","[""78977433473697768085034136837909780316954935931020405306039593482691432595883"", ""22444042921220409234672584442575587651068592027199512075840271937548467069426""]",Hershey Bears,2026-04-21,2026-05-05T23:00:00Z,2026-04-21,,
142,shimizu uchiyama,sports_fees_v2,Tennis,1.0,2034476,atp-shimizu-uchiyam-2026-04-20,https://polymarket.com/event/atp-shimizu-uchiyam-2026-04-20,KXATPCHALLENGERMATCH-26APR20SHIUCH-UCH,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR20SHIUCH-UCH,https://polymarket.com/event/atp-shimizu-uchiyam-2026-04-20,"[""Yasutaka Uchiyama"", ""Yuta Shimizu""]","[""76050413039409784531540416388082655015146683494137943173985691140405411921839"", ""45980160793934573322860923023246067460204398886195959457538329069641945833147""]",Yasutaka Uchiyama,2026-04-28,2026-05-05T02:00:00Z,2026-04-28,,
143,shimizu uchiyama,sports_fees_v2,Tennis,1.0,2034476,atp-shimizu-uchiyam-2026-04-20,https://polymarket.com/event/atp-shimizu-uchiyam-2026-04-20,KXATPCHALLENGERMATCH-26APR20SHIUCH-SHI,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR20SHIUCH-SHI,https://polymarket.com/event/atp-shimizu-uchiyam-2026-04-20,"[""Yuta Shimizu"", ""Yasutaka Uchiyama""]","[""45980160793934573322860923023246067460204398886195959457538329069641945833147"", ""76050413039409784531540416388082655015146683494137943173985691140405411921839""]",Yuta Shimizu,2026-04-28,2026-05-05T02:00:00Z,2026-04-28,,
144,jeanjean masarova,sports_fees_v2,Tennis,1.0,2034478,wta-jeanjea-masarov-2026-04-21,https://polymarket.com/event/wta-jeanjea-masarov-2026-04-21,KXWTAMATCH-26APR21JEAMAS-JEA,https://kalshi.com/markets/KXWTAMATCH-26APR21JEAMAS-JEA,https://polymarket.com/event/wta-jeanjea-masarov-2026-04-21,"[""Leolia Jeanjean"", ""Rebeka Masarova""]","[""30251551451133436153195608682669990271295270735631988704353056111195856187575"", ""112771139419993414365314487894737441836368055817531396410561651866567433759376""]",Leolia Jeanjean,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
145,jeanjean masarova,sports_fees_v2,Tennis,1.0,2034478,wta-jeanjea-masarov-2026-04-21,https://polymarket.com/event/wta-jeanjea-masarov-2026-04-21,KXWTAMATCH-26APR21JEAMAS-MAS,https://kalshi.com/markets/KXWTAMATCH-26APR21JEAMAS-MAS,https://polymarket.com/event/wta-jeanjea-masarov-2026-04-21,"[""Rebeka Masarova"", ""Leolia Jeanjean""]","[""112771139419993414365314487894737441836368055817531396410561651866567433759376"", ""30251551451133436153195608682669990271295270735631988704353056111195856187575""]",Rebeka Masarova,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
146,blinkova kalieva,sports_fees_v2,Tennis,1.0,2034483,wta-blinkov-kalieva-2026-04-21,https://polymarket.com/event/wta-blinkov-kalieva-2026-04-21,KXWTAMATCH-26APR21BLIKAL-BLI,https://kalshi.com/markets/KXWTAMATCH-26APR21BLIKAL-BLI,https://polymarket.com/event/wta-blinkov-kalieva-2026-04-21,"[""Anna Blinkova"", ""Elvina Kalieva""]","[""7512061693463091103838103408684364498205456773740039113468133276717915438164"", ""8923195653378575596374339564359580977568829821447368172035477452473428000599""]",Anna Blinkova,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
147,blinkova kalieva,sports_fees_v2,Tennis,1.0,2034483,wta-blinkov-kalieva-2026-04-21,https://polymarket.com/event/wta-blinkov-kalieva-2026-04-21,KXWTAMATCH-26APR21BLIKAL-KAL,https://kalshi.com/markets/KXWTAMATCH-26APR21BLIKAL-KAL,https://polymarket.com/event/wta-blinkov-kalieva-2026-04-21,"[""Elvina Kalieva"", ""Anna Blinkova""]","[""8923195653378575596374339564359580977568829821447368172035477452473428000599"", ""7512061693463091103838103408684364498205456773740039113468133276717915438164""]",Elvina Kalieva,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
148,sharipov riedi,sports_fees_v2,Tennis,1.0,2034484,atp-sharipo-riedi-2026-04-21,https://polymarket.com/event/atp-sharipo-riedi-2026-04-21,KXATPCHALLENGERMATCH-26APR21SHARIE-RIE,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR21SHARIE-RIE,https://polymarket.com/event/atp-sharipo-riedi-2026-04-21,"[""Leandro Riedi"", ""Marat Sharipov""]","[""2983690551685048972764370280094141918860138096412812565299698429891097847734"", ""8394810520671809429951849126458424038322813816367357823326868999933718517744""]",Leandro Riedi,2026-04-28,2026-05-05T05:00:00Z,2026-04-28,,
149,sharipov riedi,sports_fees_v2,Tennis,1.0,2034484,atp-sharipo-riedi-2026-04-21,https://polymarket.com/event/atp-sharipo-riedi-2026-04-21,KXATPCHALLENGERMATCH-26APR21SHARIE-SHA,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR21SHARIE-SHA,https://polymarket.com/event/atp-sharipo-riedi-2026-04-21,"[""Marat Sharipov"", ""Leandro Riedi""]","[""8394810520671809429951849126458424038322813816367357823326868999933718517744"", ""2983690551685048972764370280094141918860138096412812565299698429891097847734""]",Marat Sharipov,2026-04-28,2026-05-05T05:00:00Z,2026-04-28,,
