pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,kalshi_market_id,kalshi_url,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
pair-0280,Evangeline Lilly as the Wasp?,other,0.572,0x4889f2333d0cda4368a7d37afc2a3a47fa628af304608c095774f3075c3eb95f,evangeline-lilly-as-the-wasp,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""29695671530536313457516666558005542666262253628506465864563646146385370317730"", ""25025747914699976404481213927442108889385577432543545426766956676959972594184""]",yes,KXROLEINPRODUCTIONDOOMSDAY-EVA,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0281,Hugh Jackman as Wolverine?,other,0.571,0x9a22f275ad5ebdac774ea6ad6f9e52fcb252187980a0be2becdb24c338b9a716,hugh-jackman-as-wolverine,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""48064794488686843917149499597072747237209394936516446099300648605905231045943"", ""99017512968028483453891517632164814082918147593439590732330183017990507141513""]",yes,KXROLEINPRODUCTIONDOOMSDAY-HUG,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0282,Ryan Reynolds as Deadpool?,other,0.564,0x5f74b5e8492af8a75bcc971e0285b6e4fea82d92d39e32dba1fb4e04db9bc837,ryan-reynolds-as-deadpool,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""90496311973171409724923046971385840325344448897935293744117929372074156151283"", ""1335751199437882375026809041325767986066902001511745256703623737370864205459""]",yes,KXROLEINPRODUCTIONDOOMSDAY-RYA,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0283,Mark Ruffalo as Hulk?,other,0.562,0xd6696b1f8f76b02c28b1ad2288da9080cdb5f12a90fc6330cd1f4bd06a2ddd35,mark-ruffalo-as-hulk,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""2860693076653695599965928629982020461494274336384140162402005901946739318711"", ""25964585638044913464618784598296839197003759100171687695665075623301087435235""]",yes,KXROLEINPRODUCTIONDOOMSDAY-MAR,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0284,Jonathan Majors as Kang?,other,0.561,0xdf0c6b5d69af22deae2f14aec8fc3c4c8f20e61e0a7de3a4861838cc9d984d8d,jonathan-majors-as-kang,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""107723483262157855463037037294122152692271330842115469912814669622690071699601"", ""84730877134541448868667240825011199179065085424867754678085920550194442346068""]",yes,KXROLEINPRODUCTIONDOOMSDAY-JON,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0285,Benedict Wong as Wong?,other,0.547,0xb88efe58d64f0a8bd3a5c68097ea8d703407432f9557f2550e65e6725800956a,benedict-wong-as-wong,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,https://polymarket.com/event/which-characters-will-appear-in-avengers-doomsday,"[""Yes"", ""No""]","[""54990200879031463788652893045239153471158643902840850197825427743322983270572"", ""28423886756355677983486824371876131414844310498992693010765057451958906992010""]",yes,KXROLEINPRODUCTIONDOOMSDAY-BENE,https://kalshi.com/markets/kxroleinproductiondoomsday,2026-12-18T00:00:00Z,2028-01-01T15:00:00Z,2028-01-01T15:00:00Z
pair-0286,Will Stephenie LaGrossa Kendrick be voted off Survivor Season 50 this week?,politics,0.538,0x4ebd6385bc9a67daaff14a19bd9b0cfd3f5dbcf31d8f11ad411a839fb906088c,will-stephenie-lagrossa-kendrick-be-voted-off-survivor-season-50-this-week-227,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""40357725699336193941922823082068220680820244269507511834947697826242577875802"", ""85290954565923431031696093949266589086993060778488173900592284572471276079168""]",yes,KXSURVIVOR-26DEC31-STE,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
pair-0287,"Will Benjamin ""Coach"" Wade be voted off Survivor Season 50 this week?",politics,0.526,0x3cda4f606b4e685bd74603461ae98b0c3be55bd8243a9a1a596fa9e065009cb6,will-benjamin-coach-wade-be-voted-off-survivor-season-50-this-week-625,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""89138930997127561218991325051196920804199499939570396629393821404635743689629"", ""67463376265874027664151370792879092064856362566566106431834478783233452685942""]",yes,KXSURVIVOR-26DEC31-BEN,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
pair-0288,Will Tiffany Nicole Ervin be voted off Survivor Season 50 this week?,politics,0.510,0x7793c064ee0a5b4670ac8af2c53811f58bb907dd78f12fb1ed638982149e47e0,will-tiffany-nicole-ervin-be-voted-off-survivor-season-50-this-week-794,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""10115218463566716818641520105224090579127378907041401927913287864948883451924"", ""79934500148046997133752911895529852197156441852904414552723181611058003766465""]",yes,KXSURVIVOR-26DEC31-TIF,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
pair-0289,"Will ""Golden - HUNTR/X"" be the Billboard Hot 100 #1 song for the week of April 11?",entertainment,0.505,0x181096ba2fe62ee9a1209b99d4990197a2b4469b61e61c241b2cdb5929ad5547,will-golden-huntrx-be-the-billboard-hot-100-1-song-for-the-week-of-april-11,https://polymarket.com/event/billboard-hot-100-1-song-week-of-april-11,https://polymarket.com/event/billboard-hot-100-1-song-week-of-april-11,"[""Yes"", ""No""]","[""7529421093938544622057127362833172492338342964424255239173281545226333094582"", ""25636679881210805089080925809005902532998770062667868971740906866131549109814""]",yes,KXRANKLISTSONGGOL-26DEC-GOL,https://kalshi.com/markets/kxranklistsonggol-26dec,2026-04-06T00:00:00Z,2026-12-26T15:00:00Z,2026-12-26T15:00:00Z
pair-0290,Will Rizo Velovic be voted off Survivor Season 50 this week?,politics,0.487,0x7ec92bc5466c3d940f77b6c101d8c468c4f840cd1b7733676e5cb2f3cf4bbccd,will-rizo-velovic-be-voted-off-survivor-season-50-this-week-697,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""27831336197324267994380964225620189165480050942197982049331902115400239968622"", ""43589747245721301029578572007637058225574534114928171952432983243611247850658""]",yes,KXSURVIVOR-26DEC31-RIZ,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
pair-0292,Will Cirie Fields be voted off Survivor Season 50 this week?,politics,0.480,0x05a6be3d9fae5cc84ef2fa8ff65e5901dc5fe2f3e0a566e924bbc7764e48441a,will-cirie-fields-be-voted-off-survivor-season-50-this-week-329,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""42643201200718846314209644754864858669150269087194560911425075667613236629922"", ""106602281016594443671902516342442004876868913404095492814237312236074545052290""]",yes,KXSURVIVOR-26DEC31-CIR,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
pair-0293,Will Chrissy Hofbeck be voted off Survivor Season 50 this week?,politics,0.464,0xe2cdd14d5e83fdc4af262730ab18ab484b85947634566af296bd4a606b88e143,will-chrissy-hofbeck-be-voted-off-survivor-season-50-this-week-493,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""60559351739477248941382632624672070479806266296953089206978389999025075753924"", ""79323214231370011768825674684012525094443567837651857176463863669091008189582""]",yes,KXSURVIVOR-26DEC31-CHR,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
pair-0294,Will Dee Valladares be voted off Survivor Season 50 this week?,politics,0.464,0x477275f85edf6e9eaaa709a0c31c5814dcbe91ba3e217a27d4c2c2ffe4cd19e5,will-dee-valladares-be-voted-off-survivor-season-50-this-week-726,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,https://polymarket.com/event/who-will-be-voted-off-survivor-season-50-this-week-april-1,"[""Yes"", ""No""]","[""105192124958581206365674150856097825084043196297278255289673946715111918039705"", ""7476900446755306019148189072462274987677785245498761221413470735229677068478""]",yes,KXSURVIVOR-26DEC31-DEE,https://kalshi.com/markets/kxsurvivor-26dec31,2026-04-01T00:00:00Z,2027-01-07T15:00:00Z,2027-01-07T15:00:00Z
