sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc
Tennis,ATP,high,humbert; sinner,8,1886057,rolex monte carlo masters ugo humbert jannik sinner jannik sinner,Jannik Sinner,Humbert; Sinner,2026-04-15,https://polymarket.com/event/atp-humbert-sinner-2026-04-08,atp-humbert-sinner-2026-04-08,https://polymarket.com/event/atp-humbert-sinner-2026-04-08,"[""Jannik Sinner"", ""Ugo Humbert""]","[""41276715029998181896308715539603705340498190278540412002439433362697432669944"", ""1551437811152180913167295349796841707369445275032965095725114093477061017253""]",2026-04-15,2026-04-15,KXATPMATCH-26APR07HUMSIN,KXATPMATCH-26APR07HUMSIN-SIN,Will Jannik Sinner win the Humbert vs Sinner : Round Of 32 match?,Humbert; Sinner,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07HUMSIN-SIN,2026-04-21T09:00:00Z
Tennis,ATP,high,cui; holmgren,8,1889402,wuning jie cui august holmgren jie cui,Jie Cui,Cui; Holmgren,2026-04-14,https://polymarket.com/event/atp-cui-holmgre-2026-04-06,atp-cui-holmgre-2026-04-06,https://polymarket.com/event/atp-cui-holmgre-2026-04-06,"[""Jie Cui"", ""August Holmgren""]","[""28113220031529729231793997990113665296699958441404175374061649259542731268458"", ""104170609074021334843306416963834451350264593494074459608191407933146980091271""]",2026-04-14,2026-04-14,KXATPCHALLENGERMATCH-26APR06CUIHOL,KXATPCHALLENGERMATCH-26APR06CUIHOL-CUI,Will Jie Cui win the Cui vs Holmgren : Round Of 32 match?,Cui; Holmgren,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06CUIHOL-CUI,2026-04-21T03:00:00Z
Tennis,ATP,high,ostapenkov; sun,8,1889406,wuning daniil ostapenkov qian sun daniil ostapenkov,Daniil Ostapenkov,Ostapenkov; Sun,2026-04-14,https://polymarket.com/event/atp-ostapen-qiansun-2026-04-06,atp-ostapen-qiansun-2026-04-06,https://polymarket.com/event/atp-ostapen-qiansun-2026-04-06,"[""Daniil Ostapenkov"", ""Qian Sun""]","[""84148860803294819954966240281702868957666019123317962151432114017021875086017"", ""89490224356951691835024987775679027514797818959222522796390767300790772623888""]",2026-04-14,2026-04-14,KXATPCHALLENGERMATCH-26APR06OSTSUN,KXATPCHALLENGERMATCH-26APR06OSTSUN-OST,Will Daniil Ostapenkov win the Ostapenkov vs Sun : Round Of 32 match?,Ostapenkov; Sun,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06OSTSUN-OST,2026-04-21T03:00:00Z
Tennis,ATP,high,bergs; rublev,8,1891944,rolex monte carlo masters andrey rublev zizou bergs andrey rublev,Andrey Rublev,Rublev; Bergs,2026-04-15,https://polymarket.com/event/atp-rublev-bergs-2026-04-08,atp-rublev-bergs-2026-04-08,https://polymarket.com/event/atp-rublev-bergs-2026-04-08,"[""Andrey Rublev"", ""Zizou Bergs""]","[""77293651497232939723816257500429131633361594774273970629138703063500457840402"", ""27222405560079230311657122269697513195486128384488150918456812796105282607390""]",2026-04-15,2026-04-15,KXATPMATCH-26APR07RUBBER,KXATPMATCH-26APR07RUBBER-RUB,Will Andrey Rublev win the Rublev vs Bergs : Round Of 32 match?,Rublev; Bergs,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07RUBBER-RUB,2026-04-21T09:00:00Z
Tennis,ATP,high,alcaraz; baez,8,1891947,rolex monte carlo masters carlos alcaraz sebastian baez carlos alcaraz,Carlos Alcaraz,Alcaraz; Baez,2026-04-15,https://polymarket.com/event/atp-alcaraz-baez-2026-04-08,atp-alcaraz-baez-2026-04-08,https://polymarket.com/event/atp-alcaraz-baez-2026-04-08,"[""Carlos Alcaraz"", ""Sebastian Baez""]","[""57138143960025834176133399273534629901207533483040642623210836441417344697078"", ""19679844500978466657303917314517559929735810761786808438723725933700064501477""]",2026-04-15,2026-04-15,KXATPMATCH-26APR07ALCBAE,KXATPMATCH-26APR07ALCBAE-ALC,Will Carlos Alcaraz win the Alcaraz vs Baez : Round Of 32 match?,Alcaraz; Baez,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07ALCBAE-ALC,2026-04-21T09:00:00Z
Tennis,ATP,high,garin; zverev,8,1891957,rolex monte carlo masters cristian garin alexander zverev alexander zverev,Alexander Zverev,Garin; Zverev,2026-04-15,https://polymarket.com/event/atp-garin-zverev-2026-04-08,atp-garin-zverev-2026-04-08,https://polymarket.com/event/atp-garin-zverev-2026-04-08,"[""Alexander Zverev"", ""Cristian Garin""]","[""26002933916108696832201018798780988337271460405569143489578008779129902685784"", ""20610451501454048563096205094933479878973512019564398779087851348858191397374""]",2026-04-15,2026-04-15,KXATPMATCH-26APR07GARZVE,KXATPMATCH-26APR07GARZVE-ZVE,Will Alexander Zverev win the Garin vs Zverev : Round Of 32 match?,Garin; Zverev,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07GARZVE-ZVE,2026-04-21T09:00:00Z
Tennis,ATP,high,lehecka; tabilo,8,1891973,rolex monte carlo masters jiri lehecka alejandro tabilo alejandro tabilo,Alejandro Tabilo,Lehecka; Tabilo,2026-04-15,https://polymarket.com/event/atp-lehecka-tabilo-2026-04-08,atp-lehecka-tabilo-2026-04-08,https://polymarket.com/event/atp-lehecka-tabilo-2026-04-08,"[""Alejandro Tabilo"", ""Jiri Lehecka""]","[""38846265916914086210202334629051654939793363622164135447859780022643432997040"", ""22698318210037710121341634956320801815699192204186562925989238388865998006704""]",2026-04-15,2026-04-15,KXATPMATCH-26APR07LEHTAB,KXATPMATCH-26APR07LEHTAB-TAB,Will Alejandro Tabilo win the Lehecka vs Tabilo : Round Of 32 match?,Lehecka; Tabilo,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07LEHTAB-TAB,2026-04-21T09:00:00Z
Golf,PGA Tour,high,scheffler,1,568629,scottie scheffler 2026 masters tournament,Yes,Scheffler,2026-04-13,https://polymarket.com/event/will-scottie-scheffler-win-the-2026-masters-tournament,will-scottie-scheffler-win-the-2026-masters-tournament,https://polymarket.com/event/will-scottie-scheffler-win-the-2026-masters-tournament,"[""Yes"", ""No""]","[""107914991083456571784595699074570871171796147416537665179743787749934466771632"", ""88125433733254905586251920253226789075421800520982109139203554689175245347549""]",2026-04-13,2026-04-13,KXPGATOUR-MAST26-SSCH,KXPGATOUR-MAST26-SSCH,Will Scottie Scheffler win the Masters Tournament?,Scheffler,2026-04-12,https://kalshi.com/markets/KXPGATOUR-MAST26-SSCH,2026-04-26T23:00:00Z
Golf,PGA Tour,high,mcilroy,1,568630,rory mcilroy 2026 masters tournament,Yes,McIlroy,2026-04-13,https://polymarket.com/event/will-rory-mcilroy-win-the-2026-masters-tournament,will-rory-mcilroy-win-the-2026-masters-tournament,https://polymarket.com/event/will-rory-mcilroy-win-the-2026-masters-tournament,"[""Yes"", ""No""]","[""47650382966763423119144863600890688449355617504160622255560357009005625541749"", ""110721526829271696628816884619360240907697405805387139784530202893346118060669""]",2026-04-13,2026-04-13,KXPGATOUR-MAST26-RMCI,KXPGATOUR-MAST26-RMCI,Will Rory McIlroy win the Masters Tournament?,McIlroy,2026-04-12,https://kalshi.com/markets/KXPGATOUR-MAST26-RMCI,2026-04-26T23:00:00Z
Golf,PGA Tour,high,dechambeau,1,568631,bryson dechambeau 2026 masters tournament,Yes,Dechambeau,2026-04-13,https://polymarket.com/event/will-bryson-dechambeau-win-the-2026-masters-tournament,will-bryson-dechambeau-win-the-2026-masters-tournament,https://polymarket.com/event/will-bryson-dechambeau-win-the-2026-masters-tournament,"[""Yes"", ""No""]","[""110418008203792792268114717933058884388143135270395587506293975692059241151415"", ""66179603014990857411757853029858742112684886279921671054294118974840399911612""]",2026-04-13,2026-04-13,KXPGATOUR-MAST26-BDEC,KXPGATOUR-MAST26-BDEC,Will Bryson DeChambeau win the Masters Tournament?,DeChambeau,2026-04-12,https://kalshi.com/markets/KXPGATOUR-MAST26-BDEC,2026-04-26T23:00:00Z
