timestamp,pair_id,poly_market_id,kalshi_market_id,poly_yes_ask,poly_no_ask,kal_yes_ask,kal_no_ask,poly_yes_bid,poly_no_bid,kal_yes_bid,kal_no_bid
2026-02-24T22:09:46.081949Z,pair-0007,553875,KXMVESPORTSMULTIGAMEEXTENDED-S2026176DE54C9D0-1219666FEE3,0.002,0.999,0.01,0.01,0.001,0.998,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0008,559681,KXMVESPORTSMULTIGAMEEXTENDED-S2026C5C68FA8C9E-90C57CBEAC5,0.01,0.991,0.01,0.01,0.009,0.99,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0009,561370,KXMVESPORTSMULTIGAMEEXTENDED-S2026C70929CBB3F-C75B1562E67,0.268,0.74,0.01,0.01,0.26,0.732,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0010,561371,KXMVESPORTSMULTIGAMEEXTENDED-S2026F99A4C4BE31-328F5E625AB,0.002,0.999,0.01,0.01,0.001,0.998,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0011,564165,KXMVESPORTSMULTIGAMEEXTENDED-S202687508A2046E-960E7E6E83E,0.003,0.998,0.0,0.01,0.002,0.997,0.0,0.01
2026-02-24T22:09:46.081949Z,pair-0012,564167,KXMVESPORTSMULTIGAMEEXTENDED-S2026F667D07DCD5-F6C3FFE7A49,0.001,0.0,0.01,0.01,0.0,0.999,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0013,564169,KXMVESPORTSMULTIGAMEEXTENDED-S2026F416B681626-6390225A5C2,0.003,0.998,0.01,0.01,0.002,0.997,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0014,564171,KXMVESPORTSMULTIGAMEEXTENDED-S20263267E69594D-8A44E099725,0.001,0.0,0.01,0.01,0.0,0.999,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0015,564175,KXMVESPORTSMULTIGAMEEXTENDED-S2026A729AB2E862-9F4047EC059,0.023,0.979,0.01,0.01,0.021,0.977,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0016,564183,KXMVESPORTSMULTIGAMEEXTENDED-S202639FAC47113F-E65EE8606E5,0.004,0.997,0.0,0.01,0.003,0.996,0.0,0.01
2026-02-24T22:09:46.081949Z,pair-0017,564207,KXMVESPORTSMULTIGAMEEXTENDED-S20262588B5028A0-274E47765C2,0.001,0.0,0.0,0.01,0.0,0.999,0.0,0.01
2026-02-24T22:09:46.081949Z,pair-0018,566139,KXMVESPORTSMULTIGAMEEXTENDED-S20267C998128F58-91CFAFC3127,0.09,0.9299999999999999,0.01,0.01,0.07,0.91,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0019,566146,KXMVESPORTSMULTIGAMEEXTENDED-S20260FEBB10B21C-F8C4F5EBAA0,0.029,0.973,0.0,0.01,0.027,0.971,0.0,0.01
2026-02-24T22:09:46.081949Z,pair-0020,566188,KXMVESPORTSMULTIGAMEEXTENDED-S2026BC4E2BF3ED3-037490E31B4,0.37,0.64,0.0,0.01,0.36,0.63,0.0,0.01
2026-02-24T22:09:46.081949Z,pair-0021,566191,KXMVESPORTSMULTIGAMEEXTENDED-S2026AC2FAE3F70C-F6B8A85E92F,0.006,0.995,0.01,0.01,0.005,0.994,0.0,0.0
2026-02-24T22:09:46.081949Z,pair-0022,566233,KXMVESPORTSMULTIGAMEEXTENDED-S2026FE1135DD58C-09BD74DDE83,0.002,0.999,0.01,0.01,0.001,0.998,0.0,0.0
