pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,kalshi_market_id,kalshi_url,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
pair-0371,"Will Magomed Ankalaev be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0x4e163905cb466ebc0774daaff40d91ce7513e0172ce02f3bb4a6725c2ffc3206,will-magomed-ankalaev-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-magomed-ankalaev-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""55915863759114441227254612684581936053726000439613771783855987051654948195200"", ""43779854973708375167948756616215507473711221256787065721831787672659002602484""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-MANK,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-mank,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0372,"Will Jan Błachowicz be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0x5febf195f5a23256bc72c42b784bb1016e6c196c6d30da580e73b4c1d90bb538,will-jan-bachowicz-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-jan-bachowicz-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""41766081816151983792985150351769794911116569315987258973638411239449963187541"", ""91288828007522244868042488060433622054903988918742813587188392649477439940563""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-JBTA,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-jbta,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0374,"Will Charles Oliveira be the UFC Lightweight Champion on December 31, 2026?",default,1.0,0xa267ac751ec25021cf6fedbae2aa38c59a732c1bdca1b55587b0bb2ebccaffdd,will-charles-oliveira-be-the-ufc-lightweight-champion-on-december-31-2026,https://polymarket.com/market/will-charles-oliveira-be-the-ufc-lightweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""56768227553144963642428658064914291002564624740057179914948086840254709806064"", ""83100122040240399113356973342094720094832083297030174008551666181088733056204""]",yes,KXUFCLIGHTWEIGHTTITLE-26-COLI,https://kalshi.com/markets/kxufclightweighttitle-26/ufc-lightweight-title-holder-on-dec-31-2026/kxufclightweighttitle-26-coli,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0375,"Will Arman Tsarukyan be the UFC Lightweight Champion on December 31, 2026?",default,1.0,0xb95e2eed6d79fed611ef7d25fbda14a8eb54c951787dba969c6e1021efdde0e4,will-arman-tsarukyan-be-the-ufc-lightweight-champion-on-december-31-2026,https://polymarket.com/market/will-arman-tsarukyan-be-the-ufc-lightweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""109653694401587996238634579753195888081567274889934639277234443069656570216996"", ""64127540731227884048024410158346875473683061339030425933229284182417481073291""]",yes,KXUFCLIGHTWEIGHTTITLE-26-ATSA,https://kalshi.com/markets/kxufclightweighttitle-26/ufc-lightweight-title-holder-on-dec-31-2026/kxufclightweighttitle-26-atsa,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0377,"Will Max Holloway be the UFC Lightweight Champion on December 31, 2026?",default,1.0,0x028fe6fcde67f39bc54d606681523ef84bbdc2a212a76856e04765b4af8fa4db,will-max-holloway-be-the-ufc-lightweight-champion-on-december-31-2026,https://polymarket.com/market/will-max-holloway-be-the-ufc-lightweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""27758845248116108905938290601904696673318192978073469023309257907143127713242"", ""108697217455948769911408429892729327065916817458947022597346595799084763831358""]",yes,KXUFCLIGHTWEIGHTTITLE-26-MHOL,https://kalshi.com/markets/kxufclightweighttitle-26/ufc-lightweight-title-holder-on-dec-31-2026/kxufclightweighttitle-26-mhol,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0378,"Will Dan Hooker be the UFC Lightweight Champion on December 31, 2026?",default,1.0,0x48044aa03834162fec6f65e74c50a6607a659cebd603f1129df384400773eb24,will-dan-hooker-be-the-ufc-lightweight-champion-on-december-31-2026,https://polymarket.com/market/will-dan-hooker-be-the-ufc-lightweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""23787650606735370655481032613405413500823850667213698821518077811900087856674"", ""6205939417654047986605790755845893260448833477677626606201401757758734024896""]",yes,KXUFCLIGHTWEIGHTTITLE-26-DHOO,https://kalshi.com/markets/kxufclightweighttitle-26/ufc-lightweight-title-holder-on-dec-31-2026/kxufclightweighttitle-26-dhoo,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0379,"Will Mateusz Gamrot be the UFC Lightweight Champion on December 31, 2026?",default,1.0,0xdf43389b1686b4acbadadeab24d79c21b16f5564bb4af394641e16d2619c1aa1,will-mateusz-gamrot-be-the-ufc-lightweight-champion-on-december-31-2026,https://polymarket.com/market/will-mateusz-gamrot-be-the-ufc-lightweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""58071330569983912532518572962721691962789017436314204579031888074021668609721"", ""84804039619980309363646653467714874126465768789987686713042180708142564327326""]",yes,KXUFCLIGHTWEIGHTTITLE-26-MGAM,https://kalshi.com/markets/kxufclightweighttitle-26/ufc-lightweight-title-holder-on-dec-31-2026/kxufclightweighttitle-26-mgam,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0380,"Will Paddy Pimblett be the UFC Lightweight Champion on December 31, 2026?",default,1.0,0x3c37a6ecb4080c44d3da28c5d89d6979d1dd3112a6ee66face98f63a7db27b77,will-paddy-pimblett-be-the-ufc-lightweight-champion-on-december-31-2026,https://polymarket.com/market/will-paddy-pimblett-be-the-ufc-lightweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""81590604790502881322361410316125553010822128521681208479952869274919740974531"", ""42223878090356423055854152582837363187961447924441422991785157333295622340575""]",yes,KXUFCLIGHTWEIGHTTITLE-26-PPIM,https://kalshi.com/markets/kxufclightweighttitle-26/ufc-lightweight-title-holder-on-dec-31-2026/kxufclightweighttitle-26-ppim,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0383,"Will Belal Muhammad be the UFC Welterweight Champion on December 31, 2026?",default,1.0,0xf94e72c889a0f0104b12f0eb2d9364a83f20e403b50ec8d295e2bd1b2e1f30af,will-belal-muhammad-be-the-ufc-welterweight-champion-on-december-31-2026,https://polymarket.com/market/will-belal-muhammad-be-the-ufc-welterweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""57436983810351392730880310603366900579159575771490998205302315270967581495665"", ""66517004058363258515662556808950033706466345420778370620404377763665739338683""]",yes,KXUFCWELTERWEIGHTTITLE-26-BMUH,https://kalshi.com/markets/kxufcwelterweighttitle-26/ufc-welterweight-title-holder-on-dec-31-2026/kxufcwelterweighttitle-26-bmuh,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0384,"Will Sean Brady be the UFC Welterweight Champion on December 31, 2026?",default,1.0,0xbe494c850a189220f02969ca09189997bdfa3613e93f10dec8a31f0586f1d826,will-sean-brady-be-the-ufc-welterweight-champion-on-december-31-2026,https://polymarket.com/market/will-sean-brady-be-the-ufc-welterweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""20177564753192476498668645992882088368587009249673866485690071991522572671968"", ""82289016242053575124241564501437965320955695489223700714505889669628575765330""]",yes,KXUFCWELTERWEIGHTTITLE-26-SBRA,https://kalshi.com/markets/kxufcwelterweighttitle-26/ufc-welterweight-title-holder-on-dec-31-2026/kxufcwelterweighttitle-26-sbra,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0385,"Will Kamaru Usman be the UFC Welterweight Champion on December 31, 2026?",default,1.0,0x2db5b78983bf1f0dab2d7ec92bc81183153303ce08072c9282d2c9c05b9c606b,will-kamaru-usman-be-the-ufc-welterweight-champion-on-december-31-2026,https://polymarket.com/market/will-kamaru-usman-be-the-ufc-welterweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""43532644668373301788505976258992757602292947093143643906774836562314689589635"", ""63046542983570867635453336675549200466901936166918998003651835484114710500400""]",yes,KXUFCWELTERWEIGHTTITLE-26-KUSM,https://kalshi.com/markets/kxufcwelterweighttitle-26/ufc-welterweight-title-holder-on-dec-31-2026/kxufcwelterweighttitle-26-kusm,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0386,"Will Jack Della Maddalena be the UFC Welterweight Champion on December 31, 2026?",default,1.0,0x4619eba8de099e2af7c6d78ea02adaf9365b3aec04fe9da5027607448e4efd91,will-jack-della-maddalena-be-the-ufc-welterweight-champion-on-december-31-2026,https://polymarket.com/market/will-jack-della-maddalena-be-the-ufc-welterweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""68985012782787586622646930556230094863276855926099781737477785861270375835914"", ""7295553622002533993070942001821216447688914762448273715787750138124832899443""]",yes,KXUFCWELTERWEIGHTTITLE-26-DMAD,https://kalshi.com/markets/kxufcwelterweighttitle-26/ufc-welterweight-title-holder-on-dec-31-2026/kxufcwelterweighttitle-26-dmad,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0387,"Will Leon Edwards be the UFC Welterweight Champion on December 31, 2026?",default,1.0,0xe3b38d6b2dae58dfacd79807705dfe95469bef30ebf340c99b81ffa9c2a36a56,will-leon-edwards-be-the-ufc-welterweight-champion-on-december-31-2026,https://polymarket.com/market/will-leon-edwards-be-the-ufc-welterweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""78867857392011920982601845391571407505765270067883998957732116044829956253485"", ""6699783446179042791620011361969710321739899283028398025556745569459565662496""]",yes,KXUFCWELTERWEIGHTTITLE-26-LEDW,https://kalshi.com/markets/kxufcwelterweighttitle-26/ufc-welterweight-title-holder-on-dec-31-2026/kxufcwelterweighttitle-26-ledw,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0388,"Will Shavkat Rakhmonov be the UFC Welterweight Champion on December 31, 2026?",default,1.0,0xdf1a20900fec4ffd31220fbd992aa5ae659b0798c6773e5c6e4b54dcd67a33a8,will-shavkat-rakhmonov-be-the-ufc-welterweight-champion-on-december-31-2026,https://polymarket.com/market/will-shavkat-rakhmonov-be-the-ufc-welterweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""51262511633988088938002067487857750610234620376222603139947006481796690096359"", ""84149461419821376839074399408676583747104120375926358219586545639560924030543""]",yes,KXUFCWELTERWEIGHTTITLE-26-SRAK,https://kalshi.com/markets/kxufcwelterweighttitle-26/ufc-welterweight-title-holder-on-dec-31-2026/kxufcwelterweighttitle-26-srak,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
